EventID,MovieName,ExtractionType,EventDescription,Start,End,StartTime(s),EndTime(s),Duration(s),start_point,end_point,Text_length,Aligned,EventType,Aligned_Event_Number,Normalised Video Clip Index,Normalised Plot Sentence Index
169,The Social Network(2010),Machine Learning Extracted Event,crosses to a shelf and finds a book.,0:56:26,0:56:33,,,7,,,36,Fail,,0,,
170,The Social Network(2010),Machine Learning Extracted Event,"Now, a young woman dangles her blonde hair.",0:56:56,0:57:02,,,6,,,43,Fail,,0,,
171,The Social Network(2010),Machine Learning Extracted Event,He notes her Stanford panty shorts.,0:57:06,0:57:12,,,6,,,35,Fail,,0,,
172,The Social Network(2010),Machine Learning Extracted Event,Furrows his brow then sets the computer on his lap.,0:59:11,0:59:18,,,7,,,51,Fail,,0,,
173,The Social Network(2010),Machine Learning Extracted Event,the door then glances around.,0:59:26,0:59:31,,,5,,,29,Fail,,0,,
174,The Social Network(2010),Machine Learning Extracted Event,The twins wait in the reception room.,1:00:15,1:00:20,,,5,,,37,Fail,,0,,
175,The Social Network(2010),Machine Learning Extracted Event,"The twins get up, fix their coats.",1:00:32,1:00:37,,,5,,,34,Fail,,0,,
176,The Social Network(2010),Machine Learning Extracted Event,Phone at his desk.,1:00:42,1:00:47,,,5,,,18,Fail,,0,,
177,The Social Network(2010),Machine Learning Extracted Event,SOMEONE wears a hoodie.,1:04:45,1:04:50,,,5,,,23,Fail,,0,,
178,The Social Network(2010),Machine Learning Extracted Event,SOMEONE sullenly looks up at the ad executive.,1:05:05,1:05:11,,,6,,,46,Fail,,0,,
179,The Social Network(2010),Machine Learning Extracted Event,SOMEONE faces the door.,1:06:24,1:06:29,,,5,,,23,Fail,,0,,
180,The Social Network(2010),Machine Learning Extracted Event,Tori serves another round of drinks.,1:07:09,1:07:15,,,6,,,36,Fail,,0,,
181,The Social Network(2010),Machine Learning Extracted Event,"Looking away, SOMEONE shakes his head.",1:07:14,1:07:20,,,6,,,38,Fail,,0,,
182,The Social Network(2010),Machine Learning Extracted Event,SOMEONE and SOMEONE smile.,1:08:57,1:09:03,,,6,,,26,Fail,,0,,
183,The Social Network(2010),Machine Learning Extracted Event,SOMEONE shoots him a scolding pout. In the present.,1:10:06,1:10:13,,,7,,,51,Fail,,0,,
184,The Social Network(2010),Machine Learning Extracted Event,Lifts his chin. SOMEONE eyes SOMEONE.,1:10:11,1:10:17,,,6,,,37,Fail,,0,,
185,The Social Network(2010),Machine Learning Extracted Event,SOMEONE pauses on his way out.,1:11:00,1:11:06,,,6,,,30,Success,,1,,
186,The Social Network(2010),Machine Learning Extracted Event,"As he goes, SOMEONE stares after him with an enthralled gaze.",1:11:08,1:11:14,,,6,,,61,Fail,,0,,
187,The Social Network(2010),Machine Learning Extracted Event,"Breezes out, past the restaurant staff. SOMEONE drains a glass of brandy.",1:11:12,1:11:20,,,8,,,73,Fail,,0,,
188,The Social Network(2010),Machine Learning Extracted Event,"Now in a taxicab, SOMEONE dozes on her boyfriend's shoulder.",1:11:18,1:11:25,,,7,,,60,Fail,,0,,
189,The Social Network(2010),Machine Learning Extracted Event,SOMEONE wakes and sits up.,1:11:26,1:11:32,,,6,,,26,Fail,,0,,
190,The Social Network(2010),Machine Learning Extracted Event,In the present.,1:11:41,1:11:46,,,5,,,15,Fail,,0,,
191,The Social Network(2010),Machine Learning Extracted Event,SOMEONE reaches for SOMEONE.,1:12:31,1:12:36,,,5,,,28,Fail,,0,,
192,The Social Network(2010),Machine Learning Extracted Event,"SOMEONE eyes SOMEONE, who shrugs sullenly.",1:14:40,1:14:46,,,6,,,42,Fail,,0,,
193,The Social Network(2010),Machine Learning Extracted Event,"Across the room, SOMEONE's chicken turns its head inside its cage. Now the young CFO saunters down a hallway.",1:16:07,1:16:17,,,10,,,109,Fail,,0,,
194,The Social Network(2010),Machine Learning Extracted Event,"at an intersection, he turns and follows the noise.",1:16:15,1:16:21,,,6,,,51,Fail,,0,,
195,The Social Network(2010),Machine Learning Extracted Event,SOMEONE scribbles on a notepad.,1:17:58,1:18:04,,,6,,,31,Fail,,0,,
196,The Social Network(2010),Machine Learning Extracted Event,In a backyard in California he ziplines.,1:18:29,1:18:35,,,6,,,40,Fail,,0,,
197,The Social Network(2010),Machine Learning Extracted Event,"Going inside, SOMEONE tosses the camcorder down.",1:19:10,1:19:16,,,6,,,48,Fail,,0,,
198,The Social Network(2010),Machine Learning Extracted Event,"Into a pixie light brunette, SOMEONE arrives at her side.",1:19:15,1:19:22,,,7,,,57,Fail,,0,,
199,The Social Network(2010),Machine Learning Extracted Event,Then SOMEONE opens the fridge. SOMEONE and his girlfriend tread in.,1:19:46,1:19:53,,,7,,,67,Fail,,0,,
200,The Social Network(2010),Machine Learning Extracted Event,SOMEONE throws SOMEONE a beer. SOMEONE catches it and smacks the cap off on a chair.,1:19:51,1:19:58,,,7,,,84,Fail,,0,,
201,The Social Network(2010),Machine Learning Extracted Event,Sharon one She flinches away.,1:19:57,1:20:03,,,6,,,29,Fail,,0,,
202,The Social Network(2010),Machine Learning Extracted Event,SOMEONE throws another.,1:20:03,1:20:08,,,5,,,23,Fail,,0,,
203,The Social Network(2010),Machine Learning Extracted Event,SOMEONE shakes his head and looks away. SOMEONE gives a wincing nod.,1:20:21,1:20:29,,,8,,,68,Fail,,0,,
204,The Social Network(2010),Machine Learning Extracted Event,"Now in fast motion, the sun sets. As the sky darkens.",1:20:26,1:20:32,,,6,,,53,Fail,,0,,
205,The Social Network(2010),Machine Learning Extracted Event,SOMEONE stares off at the dance floor.,1:20:53,1:20:59,,,6,,,38,Fail,,0,,
206,The Social Network(2010),Machine Learning Extracted Event,Look over a verdant landscape with the river flowing through it.,1:24:27,1:24:33,,,6,,,64,Success,,1,,
207,The Social Network(2010),Machine Learning Extracted Event,"Henley Royal Regatta, Henley-on-Thames. White tents line the shore and varied boats cruise the river passing under an arched bridge.",1:24:31,1:24:42,,,11,,,132,Success,,1,,
208,The Social Network(2010),Machine Learning Extracted Event,As the oars rise.,1:25:20,1:25:24,,,4,,,17,Success,,1,,
209,The Social Network(2010),Machine Learning Extracted Event,Pulling to show Hollandia barely in the lead. The Hollandia coxman and shouts into a headpiece microphone.,1:25:36,1:25:45,,,9,,,106,Success,,1,,
210,The Social Network(2010),Machine Learning Extracted Event,Harvard's boat edges toward Hollandia's.,1:25:43,1:25:48,,,5,,,40,Success,,1,,
211,The Social Network(2010),Machine Learning Extracted Event,Harvard's boat follows.,1:25:53,1:25:59,,,6,,,23,Success,,1,,
212,The Social Network(2010),Machine Learning Extracted Event,SOMEONE sighs.,1:25:58,1:26:03,,,5,,,14,Success,,1,,
213,The Social Network(2010),Machine Learning Extracted Event,The prince and his aide stride off.,1:26:49,1:26:55,,,6,,,35,Success,,1,,
214,The Social Network(2010),Machine Learning Extracted Event,The three students swap looks.,1:27:33,1:27:39,,,6,,,30,Success,,1,,
215,The Social Network(2010),Machine Learning Extracted Event,SOMEONE Steps away.,1:27:58,1:28:03,,,5,,,19,Fail,,0,,
216,The Social Network(2010),Machine Learning Extracted Event,SOMEONE storms off into a step.,1:28:01,1:28:06,,,5,,,31,Fail,,0,,
217,The Social Network(2010),Machine Learning Extracted Event,SOMEONE swaggers through the door. SOMEONE looks helplessly to SOMEONE who bows his head. His twin link.,1:28:42,1:28:51,,,9,,,104,Success,,1,,
218,The Social Network(2010),Machine Learning Extracted Event,SOMEONE pumps his fist.,1:28:54,1:28:59,,,5,,,23,Success,,1,,
219,The Social Network(2010),Machine Learning Extracted Event,SOMEONE uses a phone.,1:29:14,1:29:18,,,4,,,21,Success,,1,,
220,The Social Network(2010),Machine Learning Extracted Event,"Holding the phone with his shoulder, he grabs some drinks.",1:29:20,1:29:26,,,6,,,58,Success,,1,,
221,The Social Network(2010),Machine Learning Extracted Event,SOMEONE opens the door and finds SOMEONE outside in the rain.,1:29:38,1:29:46,,,8,,,61,Success,,1,,
222,The Social Network(2010),Machine Learning Extracted Event,Six-foot bong. He rubs his eyes.,1:30:01,1:30:07,,,6,,,32,Success,,1,,
223,The Social Network(2010),Machine Learning Extracted Event,SOMEONE hopples out sleepily and gives SOMEONE a playful smack.,1:30:34,1:30:42,,,8,,,63,Success,,1,,
224,The Social Network(2010),Machine Learning Extracted Event,Sets down his bags. He shoots SOMEONE a glare then faces SOMEONE. The programmer uncomfortably lowers his half-eaten red licorice.,1:31:33,1:31:44,,,11,,,130,Fail,,0,,
225,The Social Network(2010),Machine Learning Extracted Event,In a hallway.,1:31:51,1:31:56,,,5,,,13,Fail,,0,,
226,The Social Network(2010),Machine Learning Extracted Event,SOMEONE clenches his jaw. SOMEONE calmly meets a stare.,1:33:10,1:33:17,,,7,,,55,Fail,,0,,
227,The Social Network(2010),Machine Learning Extracted Event,SOMEONE strides up To a window in the bank.,1:33:19,1:33:24,,,5,,,43,Success,,1,,
228,The Social Network(2010),Machine Learning Extracted Event,SOMEONE gazes off angrily.,1:33:32,1:33:37,,,5,,,26,Fail,,0,,
229,The Social Network(2010),Machine Learning Extracted Event,"Now in a downtown high-rise, SOMEONE and SOMEONE sit in a waiting room.",1:33:34,1:33:40,,,6,,,71,Fail,,0,,
230,The Social Network(2010),Machine Learning Extracted Event,Into an office.,1:33:56,1:34:00,,,4,,,15,Fail,,0,,
231,The Social Network(2010),Machine Learning Extracted Event,Two businessmen face SOMEONE.,1:33:59,1:34:05,,,6,,,29,Fail,,0,,
232,The Social Network(2010),Machine Learning Extracted Event,Haired businessman locks eyes with SOMEONE seriously. Nighttime. The lights of New York.,1:34:23,1:34:31,,,8,,,88,Fail,,0,,
233,The Social Network(2010),Machine Learning Extracted Event,"In his apartment, SOMEONE lies asleep. A shadow passes through the light coming under it.",1:34:28,1:34:36,,,8,,,89,Fail,,0,,
234,The Social Network(2010),Machine Learning Extracted Event,"At the side, SOMEONE sits up fearfully.",1:34:38,1:34:43,,,5,,,39,Fail,,0,,
235,The Social Network(2010),Machine Learning Extracted Event,"The door swings open, revealing SOMEONE.",1:34:41,1:34:45,,,4,,,40,Fail,,0,,
236,The Social Network(2010),Machine Learning Extracted Event,She folds her arms.,1:34:45,1:34:50,,,5,,,19,Fail,,0,,
237,The Social Network(2010),Machine Learning Extracted Event,He roots through a bag.,1:35:11,1:35:16,,,5,,,23,Fail,,0,,
238,The Social Network(2010),Machine Learning Extracted Event,She checks his cell.,1:35:54,1:35:59,,,5,,,20,Fail,,0,,
239,The Social Network(2010),Machine Learning Extracted Event,SOMEONE lights her gift on fire.,1:36:39,1:36:45,,,6,,,32,Fail,,0,,
240,The Social Network(2010),Machine Learning Extracted Event,SOMEONE aims a fire extinguisher.,1:37:00,1:37:05,,,5,,,33,Fail,,0,,
241,The Social Network(2010),Machine Learning Extracted Event,"SOMEONE squeezes his eye shut, swallows, and shakes his head.",1:37:35,1:37:42,,,7,,,61,Fail,,0,,
242,The Social Network(2010),Machine Learning Extracted Event,He freely snaps his phone shut.,1:37:45,1:37:50,,,5,,,31,Fail,,0,,
243,The Social Network(2010),Machine Learning Extracted Event,"At the rented house, SOMEONE stands.",1:37:57,1:38:02,,,5,,,36,Fail,,0,,
244,The Social Network(2010),Machine Learning Extracted Event,In the living room. A girl spray champagne.,1:38:00,1:38:05,,,5,,,43,Fail,,0,,
245,The Social Network(2010),Machine Learning Extracted Event,He thoughtfully rumples his lips.,1:39:02,1:39:08,,,6,,,33,Fail,,0,,
246,The Social Network(2010),Machine Learning Extracted Event,Back in the deposition.,1:39:10,1:39:16,,,6,,,23,Fail,,0,,
247,The Social Network(2010),Machine Learning Extracted Event,SOMEONE sits with his back to SOMEONE and the rest of the table.,1:39:28,1:39:34,,,6,,,64,Success,,1,,
248,The Social Network(2010),Machine Learning Extracted Event,He swivels his chair around to lock eyes with SOMEONE.,1:39:39,1:39:45,,,6,,,54,Fail,,0,,
249,The Social Network(2010),Machine Learning Extracted Event,SOMEONE stares back stonily. SOMEONE swivels away.,1:39:48,1:39:54,,,6,,,50,Fail,,0,,
250,The Social Network(2010),Machine Learning Extracted Event,"In a flashback, at the Facebook office.",1:40:10,1:40:15,,,5,,,39,Fail,,0,,
251,The Social Network(2010),Machine Learning Extracted Event,He sips a beer and the friends share a smile.,1:40:29,1:40:34,,,5,,,45,Fail,,0,,
252,The Social Network(2010),Machine Learning Extracted Event,"Office building. Grinning after him, SOMEONE kisses his fingers, flips off the building with both hands and returns to his SUV.",1:41:09,1:41:19,,,10,,,127,Fail,,0,,
253,The Social Network(2010),Machine Learning Extracted Event,SOMEONE arrives at Facebook headquarters.,1:41:44,1:41:50,,,6,,,41,Fail,,0,,
254,The Social Network(2010),Machine Learning Extracted Event,He swivels his chair around and glares accusingly.,1:41:53,1:41:58,,,5,,,50,Fail,,0,,
255,The Social Network(2010),Machine Learning Extracted Event,"At the thriving headquarters, a Facebook lawyer beacons SOMEONE into a glass enclosed conference room.",1:42:00,1:42:09,,,9,,,102,Fail,,0,,
256,The Social Network(2010),Machine Learning Extracted Event,SOMEONE picks up a contract and reads. The lawyer averts his gaze.,1:42:15,1:42:23,,,8,,,66,Fail,,0,,
257,The Social Network(2010),Machine Learning Extracted Event,"In the conference room, SOMEONE's expression darkens.",1:42:21,1:42:27,,,6,,,53,Success,,1,,
258,The Social Network(2010),Machine Learning Extracted Event,"Through the glass enclosure, we view the lawyer explaining. SOMEONE spies SOMEONE at a distance in headphones working at a station across the main floor.",1:42:31,1:42:42,,,11,,,153,Success,,1,,
259,The Social Network(2010),Machine Learning Extracted Event,SOMEONE perches on a nearby desk. SOMEONE bursts from the room.,1:42:39,1:42:46,,,7,,,63,Success,,1,,
260,The Social Network(2010),Machine Learning Extracted Event,Back in the deposition.,1:43:09,1:43:14,,,5,,,23,Success,,1,,
261,The Social Network(2010),Machine Learning Extracted Event,"SOMEONE faces SOMEONE. SOMEONE sucks her lower lip in, eyeing SOMEONE sympathetically. SOMEONE emphatically shrugs a hand. Back at Facebook.",1:43:31,1:43:42,,,11,,,140,Fail,,0,,
262,The Social Network(2010),Machine Learning Extracted Event,SOMEONE backs away.,1:44:42,1:44:47,,,5,,,19,Fail,,0,,
263,The Social Network(2010),Machine Learning Extracted Event,"In his fists, he turns and heads out.",1:44:46,1:44:52,,,6,,,37,Fail,,0,,
264,The Social Network(2010),Machine Learning Extracted Event,SOMEONE strolls over and hands him a check.,1:44:49,1:44:55,,,6,,,43,Fail,,0,,
265,The Social Network(2010),Machine Learning Extracted Event,"SOMEONE winds up to punch SOMEONE, who recoils cravenly. The ousted CFO smiles.",1:44:59,1:45:07,,,8,,,79,Fail,,0,,
266,The Social Network(2010),Machine Learning Extracted Event,"SOMEONE stares after his friend with a furrowed brow and swallows hard. Turning on the spot, SOMEONE faces the staff and shrugs playfully.",1:45:14,1:45:25,,,11,,,138,Fail,,0,,
267,The Social Network(2010),Machine Learning Extracted Event,"Facing SOMEONE, SOMEONE puts a hand on his shoulder.",1:45:35,1:45:41,,,6,,,52,Fail,,0,,
268,The Social Network(2010),Machine Learning Extracted Event,She sets down two oblong boxes and goes.,1:46:29,1:46:35,,,6,,,40,Fail,,0,,
269,The Social Network(2010),Machine Learning Extracted Event,The two young men stare after the slender mini-skirted blonde.,1:46:32,1:46:38,,,6,,,62,Fail,,0,,
270,The Social Network(2010),Machine Learning Extracted Event,"Grinning, SOMEONE stands and faces his staffer.",1:46:38,1:46:45,,,7,,,47,Fail,,0,,
271,The Social Network(2010),Machine Learning Extracted Event,"There's a guy playing an acoustic guitar, two girls making out, and a group smoking pot. Upstairs, SOMEONE enters a room with Ashleigh, two other girls and a guy.",1:47:17,1:47:29,,,12,,,162,Fail,,0,,
272,The Social Network(2010),Machine Learning Extracted Event,"Guest opens the door to two policemen. They step inside, shining their flashlights.",1:47:52,1:48:00,,,8,,,83,Fail,,0,,
273,The Social Network(2010),Machine Learning Extracted Event,"Sobering, SOMEONE knits his brow and leaves the room. He crosses a room on the other side.",1:48:22,1:48:29,,,7,,,90,Fail,,0,,
274,The Social Network(2010),Machine Learning Extracted Event,Finds to slide on the others.,1:48:51,1:48:56,,,5,,,29,Success,,1,,
275,The Social Network(2010),Machine Learning Extracted Event,"The officer grabs SOMEONE's hand and shines his light on it, finding it dusted with coke.",1:48:58,1:49:07,,,9,,,89,Success,,1,,
276,The Social Network(2010),Machine Learning Extracted Event,SOMEONE fumbles two items from his pocket and sets them on the table.,1:49:15,1:49:22,,,7,,,69,Success,,1,,
277,The Social Network(2010),Machine Learning Extracted Event,The cops face the others.,1:49:29,1:49:34,,,5,,,25,Success,,1,,
278,The Social Network(2010),Machine Learning Extracted Event,"The first cop shines his light on SOMEONE, who turns away and runs a hand over his hair. At Facebook headquarters, SOMEONE slumps at his desk.",1:49:39,1:49:50,,,11,,,142,Fail,,0,,
279,The Social Network(2010),Machine Learning Extracted Event,"Straightening, he answers his cell.",1:49:48,1:49:54,,,6,,,35,Fail,,0,,
280,The Social Network(2010),Machine Learning Extracted Event,At a police station.,1:49:52,1:49:57,,,5,,,20,Fail,,0,,
281,The Social Network(2010),Machine Learning Extracted Event,SOMEONE listens gravely.,1:49:54,1:50:00,,,6,,,24,Fail,,0,,
282,The Social Network(2010),Machine Learning Extracted Event,"In the background, a staffer turns off the conference room lights.",1:49:57,1:50:03,,,6,,,66,Fail,,0,,
283,The Social Network(2010),Machine Learning Extracted Event,SOMEONE's chest heaves.,1:50:09,1:50:14,,,5,,,23,Fail,,0,,
284,The Social Network(2010),Machine Learning Extracted Event,"On the other end, SOMEONE gives a weary shake of the head.",1:50:48,1:50:55,,,7,,,58,Success,,1,,
285,The Social Network(2010),Machine Learning Extracted Event,He swallows and shuts his eyes.,1:50:54,1:51:00,,,6,,,31,Success,,1,,
286,The Social Network(2010),Machine Learning Extracted Event,"He flips his phone shut. Swiveling in his chair, he heaves a sigh. Then takes a freshly printed business card from one of the oblong boxes.",1:50:58,1:51:09,,,11,,,139,Fail,,0,,
287,The Social Network(2010),Machine Learning Extracted Event,"It reads, ""I'm CEO, bitch. SOMEONE Zuckerberg."" He eyes the card then clenches it between his curling fingers.",1:51:06,1:51:17,,,11,,,110,Fail,,0,,
288,The Social Network(2010),Machine Learning Extracted Event,He sets it aside with an unhappy sneer.,1:51:14,1:51:20,,,6,,,39,Fail,,0,,
289,The Social Network(2010),Machine Learning Extracted Event,He faces an open laptop and punches.,1:51:25,1:51:30,,,5,,,36,Fail,,0,,
290,The Social Network(2010),Machine Learning Extracted Event,He turns to face the young attorney.,1:51:32,1:51:38,,,6,,,36,Fail,,0,,
291,The Social Network(2010),Machine Learning Extracted Event,Turns away shyly. Shuts his laptop then face to.,1:51:46,1:51:52,,,6,,,48,Fail,,0,,
292,The Social Network(2010),Machine Learning Extracted Event,SOMEONE sighs and drums his laptop.,1:52:02,1:52:07,,,5,,,35,Fail,,0,,
293,The Social Network(2010),Machine Learning Extracted Event,SOMEONE taps his laptop.,1:53:00,1:53:04,,,4,,,24,Fail,,0,,
294,The Social Network(2010),Machine Learning Extracted Event,SOMEONE heads out.,1:53:25,1:53:30,,,5,,,18,Fail,,0,,
295,The Social Network(2010),Machine Learning Extracted Event,She turns back.,1:53:31,1:53:36,,,5,,,15,Fail,,0,,
296,The Social Network(2010),Machine Learning Extracted Event,SOMEONE regards him sympathetically.,1:53:37,1:53:43,,,6,,,36,Fail,,0,,
297,The Social Network(2010),Machine Learning Extracted Event,Reception area outside. SOMEONE lingers.,1:53:44,1:53:50,,,6,,,40,Fail,,0,,
298,The Social Network(2010),Machine Learning Extracted Event,He eyes his laptop screen. His jaw tensely clenched.,1:53:50,1:53:57,,,7,,,52,Fail,,0,,
299,The Social Network(2010),Machine Learning Extracted Event,He stares at it.,1:54:03,1:54:08,,,5,,,16,Success,,1,,
300,The Social Network(2010),Machine Learning Extracted Event,He add SOMEONE as a friend.,1:54:09,1:54:14,,,5,,,27,Success,,1,,
301,The Social Network(2010),Machine Learning Extracted Event,"Cancel request pop up notes, SOMEONE have to confirm that you are friends.",1:54:13,1:54:20,,,7,,,74,Success,,1,,
302,The Social Network(2010),Machine Learning Extracted Event,SOMEONE's cursor moves to the send request button.,1:54:17,1:54:23,,,6,,,50,Success,,1,,
303,The Social Network(2010),Machine Learning Extracted Event,Then gazes.,1:54:29,1:54:34,,,5,,,11,Success,,1,,
